Lake Abashiri;Japan
Lake Abaya;Ethiopia
Aberdeen Lake;Canada
Abert Lake;USA
Lake Abhe ( Lake Abbe );Djibouti / Ethiopia
Lake Abijata;Ethiopia
Lake Abitibi;Canada
Aby Lagoon;Cote d'Ivoire
Lake Afambo;Ethiopia
Lake Aggol;Azerbaidjan
Agua Vermelha Reservoir;Brazil
Aishihik Lake;Canada
Lake Akan;Japan
Lake Alakol;Kazakhstan
Lake Albert;Congo ( Dem. Rep. ) / Uganda
Lake Alexandrina;Australia
Alicura Reservoir;Argentina
Lake Alumine;Argentina
Lake Amadeus;Australia
Amadjuak Lake;Canada
Lake Amatitlan;Guatemala
Amisk Lake;Canada
Amistad Reservoir;Mexico / USA
Ammersee ( Lake Ammer );Germany
Amutui Quimey Reservoir;Argentina
Lake Annecy;France
Apache Lake;USA
Aral Sea;Kazakhstan / Uzbekistan
Lake Arendsee;Germany
Lake Argentino;Argentina
Arroyito Reservoir;Argentina
Asejire Reservoir;Nigeria
Lake Athabasca;Canada
Atlin Lake;Canada
Attersee;Austria
Lake Austin;Australia
Lake Awassa;Ethiopia
Loch Awe;UK
Lake Aydarkul;Kazakhstan / Uzbekistan
Lake Ba Be;Viet Nam
Lake Baikal ( Baykal );Russia
Baker Lake;Canada
Lake Balaton;Hungary
Balbina Reservoir;Brazil
Lake Balkhash;Kazakhstan
Lake Balta Alba;Romania
Lake Bangweulu;Zambia
Lake Banyoles;Spain
Baptiste Lake;Canada
Bargi Dam Reservoir;India
Lake Baringo;Kenya
Bariri Reservoir;Brazil
Barra Bonita Reservoir;Brazil
Bartlett Lake;USA
Bassenthwaite;UK
Lake Bato;Philippines
Lake Batur;Indonesia
Bayano Lake;Panama
Bear Lake;USA
Becharof Lake;USA
Bedok Reservoir;Singapore
Lough Beg;UK
Lake Beira;Sri Lanka
Bergumermeer;Netherlands
Lake Beysehir;Turkey
Bhojtal ( Upper Lake );India
Lake Bienville;Canada
Billings Reservoir;Brazil
Billy Chinook Lake;USA
Bisalpur Reservoir;India
Bishazari Lake;Nepal
Lake Biwa;Japan
Lake Bled;Slovenia
Lake Bogoria;Kenya
Lake Boon Tsagaan;Mongolia
Boraped Reservoir ( Bung Boraphet );Thailand
Lake Bositeng;China
Bras d’Or Lake;Canada
Bratskoye Reservoir;Russia
Broa Reservoir ( Lobo );Brazil
Buffalo Pound Lake;Canada
Lake Buhi;Philippines
Lake Burera;Rwanda
Lake Burley Griffin;Australia
Buttle Lake;Canada
Lake Buyr;China / Mongolia
Cahora Bassa;Mozambique
Canandaigua Lake;USA
Caniapiscau Reservoir;Canada
Canyon Lake;USA
Capivara Reservoir;Brazil
Caratasca Lagoon;Honduras
Lake Cardiel;Argentina
Casa de Piedra Reservoir;Argentina
Caspian Sea;Azerbaidjan / Iran / Kazakhstan / Russia / Turkmenistan
Cayuga Lake;USA
Cedar Lake;Canada
Lake Chad;Cameroon / Niger / Nigeria / Chad
Lake Chamo;Ethiopia
Lake Champlain;Canada / USA
Lake Changshou;China
Lake Chany;Russia
Lake Chao;China
Lake Chapala;Mexico
Lake Charzykowskie;Poland
Lake Chascomus;Argentina
Cheboksary Reservoir;Russia
Chenghai Sea;China
Lake Chervonoje;Belarus
Lake Chicot;USA
Lake Chilika;India
Lake Chilwa;Malawi / Mozambique
Lake Chini;Malaysia
Chiriqui Lagoon;Panama
Lake Chivero ( McIlwaine );Zimbabwe
Lake Chuzenji;Japan
Lake Claire;Canada
Lake Clark;USA
Clearwater Lakes;Canada
Lake Cochico;Argentina
Lake Cocibolca (Nicaragua) ( Lake Nicaragua );Nicaragua
Lake Colhue Huapi;Argentina
Colorado Lagoon;Bolivia
Lake Como;Italy
Conesus Lake;USA
Coniston;UK
Lake Constance ( Bodensee );Austria / Switzerland / Germany
Crane Prairie Reservoir;USA
Crater Lake;USA
Cree Lake;Canada
Crescent Lake;USA
Crummock;UK
Lake Cyambwe;Rwanda
Lake Cyohoha Sud;Burundi / Rwanda
Dal Lake;India
Darbandikhan Lake;Iraq
Dargin;Poland
Dauphin Lake;Canada
Dead Sea;Israel / Jordan
Demirkopru Dam Reservoir;Turkey
Lake Derg;Ireland
Derwentwater;UK
Detroit Lake;USA
Diamante Lagoon;Argentina
Diamond Lake;USA
Dianchi;China
Lake Diefenbaker;Canada
Lake Dillon;USA
Dneprodzerzhinskoye Reservoir;Ukraine
Dobskie;Poland
Donghu;China
Lake Dongting;China
Dore Lake;Canada
Lake Driyviaty;Belarus
Lake Druksiai;Belarus / Lithuania
Dubawnt Lake;Canada
Lake Dusia;Lithuania
Lake Ebinur;China
Lake Edward;Congo ( Dem. Rep. ) / Uganda
Eemmeer;Netherlands
Lake Egridir;Turkey
Lake Elmenteita;Kenya
Ennerdale;UK
Lake Enriquillo;Dominican
Lake Epecuen;Argentina
Erhai Lake;China
Lake Erie;Canada / USA
Eskimo Lakes;Canada
Lake Evoron;Russia
Lake Eyre;Australia
Ezequiel Ramos Mexia Reservoir;Argentina
Lake Fagnano;Argentina
Lake Faguibine;Mali
Falcon International Reservoir;Mexico / USA
Lake Fateh Sagar;India
Fern Ridge Lake;USA
Flathead Lake;USA
Lake Fontana;Argentina
Lake Frome;Australia
Fuxian Lake;China
Lake Futalaufquen;Argentina
Lake G. Dimitrov;Bulgaria / Latvia
Lake Gairdner;Australia
Lake Galstas;Lithuania
Gandhi Sagar Reservoir;India
Lake Garda;Italy
Garrow Lake;Canada
Gatun Lake;Panama
Lake General Carrera;Argentina / Chile
Lake George;Uganda
Gitaru Reservoir;Kenya
Gods Lake;Canada
Gooimeer;Netherlands
Goose Lake;USA
Gorkovskoye Reservoir;Russia
Gouin;Canada
Lake Granby;USA
Great Bear Lake;Canada
Great Central Lake;Canada
Great Salt Lake;USA
Great Slave Lake;Canada
Green Mountain Reservoir;USA
Grevelingenmeer;Netherlands
Lake Guiers;Senegal
Guri Reservoir;Venezuela
Lake Hachiro ( Hachiro-gata );Japan
Lake Hago;Rwanda
Lake Hamana;Japan
Lake Hammer;Iraq
Hancza;Poland
Lake Har;Mongolia
Lake Har Us;Mongolia
Hartbeespoort Dam Reservoir;South Africa
Harveys Lake;USA
Haweswater;UK
Hazen Lake;Canada
Lake Helmand;Afghanistan / Iran
Hemlock Lake;USA
Hirakud Reservoir;India
Hirfanli Dam Reservoir;Turkey
Lake Hjalmaren;Sweden
Honeoye Lake;USA
Lake Hovsgol ( Hubsugul );Mongolia
Lake Huechulaufquen;Argentina
Lake Hulun;China
Lake Hungtze;China
Lake Huron;Canada / USA
Lake Hyargas ( Khirgiz );Mongolia
Ibera Lake;Argentina
Ibitinga Reservoir;Brazil
Lake Ihema;Rwanda
IJsselmeer;Netherlands
Lake Ikeda;Japan
Ilha Solteira Reservoir;Brazil
Iliamna Lake;USA
Lake Ilmen;Russia
Lake Geranimovas-Ilzas;Latvia
Imandrovskoye Reservoir ( Imandra );Russia
Lake Inari;Finland
Lake Inawashiro;Japan
Inba-numa;Japan
Indawgyi Lake;Myanmar
Indir Sagar Reservoir;India
Inle Lake;Myanmar
Island Lake;Canada
Lake Issyk-Kool;Kyrgyz
Lake Istada;Afghanistan
Itaipu Reservoir;Brazil
Ivankovo Reservoir;Russia
Lake Izabal;Guatemala
Jatiluhur;Indonesia
Lake Jerid;Tunisia
Lake Jipe;Kenya / Tanzania
Junin Lake;Peru
Jupia Reservoir;Brazil
Jurumirin Reservoir;Brazil
Kairakkumskoye Reservoir;Tajikistan
Kakhovskoye Reservoir;Ukraine
Kamafusa Reservoir;Japan
Kamburu Reservoir;Kenya
Kamloops Lake;Canada
Kamskoye Reservoir;Russia
Kanevskoye Reservoir;Ukraine
Kanhargaov Reservoir;India
Lake Kaoyu;China
Kaptchagayskoye Reservoir;Kazakhstan
Lake Kariba;Zambia / Zimbabwe
Kasba Lake;Canada
Lake Kasumigaura;Japan
Lake Kawaguchi;Japan
Keban Dam Reservoir;Turkey
Kejimkujik Lake;Canada
Kenyir Reservoir;Malaysia
Ketelmeer;Netherlands
Keuka Lake;USA
Kezar Lake;USA
Lake Khanka ( Xingkai );China / Russia
Khantayskoye;Russia
Kievskoye Reservoir;Ukraine
Kimbere Reservoir;Kenya
Kindaruma Reservoir;Kenya
Lake Kinneret ( Galilee );Israel
Kisajno;Poland
Lake Kivu;Congo ( Dem. Rep. ) / Rwanda
Lake Kivumba;Rwanda
Lake Kizaki;Japan
Knyazhegubskoye Reservoir ( Kovd );Russia
Lake Kojima;Japan
Lake Koka;Ethiopia
Lake Kolleru;India
Kootenay Lake;Canada
Krasnoyarskoye Reservoir;Russia
Krementchugskoye Reservoir;Ukraine
Kulundinskoye;Russia
Kurisches Bay;Lithuania / Russia
Kurunegala Reservoir;Sri Lanka
Kuybyshev Reservoir ( Samara Reservoir );Russia
Lake Kyaring;China
Lake Kyoga;Uganda
La Grande 2 Reservoir;Canada
La Grande 3 Reservoir;Canada
La Grande 4 Reservoir;Canada
Lake La Plata;Argentina
Lake Lacar;Argentina
Lake Ladoga;Russia
Laguna de Bay ( Laguna Lake );Philippines
Lake Amboseli;Kenya
Lake Benmore;New Zealand
Lake Bolsena;Italy
Lake Bracciano;Italy
Lake Burungi;Tanzania
Lake Chala;Kenya / Tanzania
Lake Ellesmere;New Zealand
Lake Eyasi;Tanzania
Lake Fitri;Chad
Lake Geneva ( Leman );Switzerland / France
Lake Hawea;New Zealand
Lake Idro;Italy
Lake Iseo;Italy
Lake Lucerne;Switzerland
Lake Magadi;Kenya
Lake Manapouri;New Zealand
Lake Manyame;Zimbabwe
Lake Manyara;Tanzania
Lake Mead;USA
Lake Powell;USA
Lake Pukaki;New Zealand
Lake Retba ( Lac Rose );Senegal
Lake Selingue;Mali
Lake Te Anau;New Zealand
Lake Tekapo;New Zealand
Lake Teli;Chad
Lake Waikaremoana;New Zealand
Lake Wakatipu;New Zealand
Lake Wanaka;New Zealand
Lake Yoan;Chad
Lam Ta Khong Reservoir;Thailand
Lake Lanao;Philippines
Nationaal Park Lauwersmeer;Netherlands
Lesser Slave Lake;Canada
Loch Leven;UK
Lake Llanquihue;Chile
Loktak Lake;India
Loch Lomond;UK
Lake Lop Nor;China
Los Barreales Reservoir;Argentina
Lower Lake ( as part of Lake Bhopal);India
Lower Lough Erne;UK
Lower Seletar Reservoir;Singapore
Luang Sea;Thailand
Lake Lubans;Latvia
Lake Lugano;Switzerland / Italy
Lake Lugu;China
Lake Lukomskoje;Belarus
Lunzer See;Austria
Lake Mafu;China
Lake Maggiore;Switzerland / Italy
Maharana Pratap Sagar;India
Lake Mai-Ndombe;Congo ( Dem. Rep. )
Lake Malaren;Sweden
Lake Malawi ( Nyasa );Malawi / Mozambique / Tanzania
Lake Mallasvesi;Finland
Lake Managua ( Xolotlan );Nicaragua
Manasbal Lake;India
Manicouagan Reservoir;Canada
Lake Manitoba;Canada
Lake Manzala;Egypt
Lake Mar Chiquita;Argentina
Lake Maracaibo;Venezuela
Mari Menuco Reservoir;Argentina
Markermeer;Netherlands
Lake Martre;Canada
Lake Mashu;Japan
Masinga Reservoir;Kenya
Massawippi Lake;Canada
Lake Matano;Indonesia
Lake Melville;Canada
Lake Memphremagog;Canada / USA
Lake Mendota;USA
Lake Menendez;Argentina
Merowe Reservoir;Sudan
Lake Michigan;USA
Michikamau Lake;Canada
Lake Mihindi;Rwanda
Milford Reservoir;USA
Mille Lacs Lake;USA
Mingetchaurskoye Reservoir;Azerbaidjan
Miquelon Lake;Canada
Mirim Lagoon;Brazil / Uruguay
Lake Mistassini;Canada
Miyun Reservoir;China
Lake Mjosa;Norway
Mondsee;Austria
Mono Lake;USA
Moose Lake;Canada
Loch Morar;UK
Lake Motosu;Japan
Mozhaysk Reservoir;Russia
Lake Mpanga;Rwanda
Mtera Reservoir;Tanzania
Lake Mugesera;Rwanda
Lake Muhazi;Rwanda
Lake Murray;Papua New Guinea
Muskoka Lake;Canada
Musters Lago;Argentina
Lake Mutirikwi;Zimbabwe
Lake Mweru;Congo ( Dem. Rep. ) / Zambia
Nagarjuna Sagar Reservoir;India
Nagase Reservoir;Japan
Lake Nahuel Huapi;Argentina
Lake Naivasha;Kenya
Lake Nakuru;Kenya
Nam Ngum Reservoir;Laos
Lake Namak;Iran
Lake Namu;China
Lake Naroch;Belarus
Lake Nasho;Rwanda
Lake Nasser;Egypt / Sudan
Lake Natron;Kenya / Tanzania
Lough Neagh;UK
Loch Ness;UK
Netilling Lake;Canada
Neusiedler See;Austria / Hungary
Lake Ngoring;China
Lake Nicaragua;Nicaragua
Nidili;Russia
Niegocin;Poland
Lake Nipigon;Canada
Lake Nipissing;Canada
Lake Nojiri;Japan
Northern Mamry;Poland
Northwood Lake;USA
Nova Avanhandava Reservoir;Brazil
Novosibirskoye Reservoir;Russia
Lake Nubia;Sudan
Nueltin Lake;Canada
Nyumba ya Mungu Reservoir;Tanzania
Lake O' Higgins;Argentina / Chile
Lake Obelija;Lithuania
Lake Ogawara;Japan
Oguta Lake;Nigeria
Lake Ohrid;Albania / Macedonia
Okanagan Lake;Canada
Lake Okeechobee;USA
Okutama Reservoir ( Ogochi );Japan
Lake Onega;Russia
Lake Ontario;Canada / USA
Opinaca Reservoir;Canada
Lake Orta;Italy
Lake Oulu;Finland
Owasco Lake;USA
Lake Oze;Japan
Lake Paajarvi;Finland
Lake Paanajarvi;Russia
